MapUnit,FieldSampleID,AlternateSampleID,SiO2,TiO2,Al2O3,FeOt,MgO,CaO,Na2O,K2O,P2O5,MnO,La,Ce,Nd,Sc,V,Cr,Ni,Cu,Zn,Ga,Zr,Ba,Cs,Nb,Pb,Rb,Sr,Th,U,Y,LocationConfidenceMeters,LocationSourceID,AnalysisSourceID,MaterialAnalyzed,DateAnalysis,Latitude,Longitude
Tgsb,02BV-G05,null,53.77,1.775,13.99,11.19,4.587,8.303,2.956,1.314,0.345,0.202,36.8,52.9,37.8,34.6,310.8,33.7,17,25.1,122.5,19.9,169.5,553.6,0.2,13.6,6.8,33.4,322.5,4,2.7,49.6,20,EvartsFleck2017,WSU,whole rock,6/7/2010 22:44,45.672306,-122.101524
Tgsbm,02BV-G05-2,null,54.18,1.834,14.18,11.31,4.485,8.356,2.926,1.406,0.357,0.2,23,48.3,27.3,35.6,299.1,33.8,14.6,26.3,123.7,22.1,172.6,575.1,,11.8,6.1,36.1,321.7,5,1.7,36.2,-9,EvartsFleck2017,WSU,whole rock,3/23/2012 7:12,45.672306,-122.101514
Tgww,02BV-G111As,null,54.69,2.042,13.6,12.35,3.796,7.566,3.084,1.618,0.318,0.209,26.2,47.6,25.3,35.2,374.7,13.7,12.9,10.5,129.9,22.4,173.2,563,,12,9.4,41.6,308.2,3.7,,33.4,20,EvartsUnpubBridalVeil,WSU,whole rock,5/12/2006 1:59,45.590112,-122.195209
Tgsbmc,02BV-G111B,null,54.13,1.81,14.64,10.85,4.55,8.473,3.008,1.136,0.268,0.199,18.9,40.4,21.8,35.1,317.9,24.9,17.7,37.4,111.3,21.7,154.6,471.3,,10.8,7.2,26.8,329,2.3,,30.4,20,EvartsUnpubBridalVeil,WSU,whole rock,5/12/2006 3:03,45.588886,-122.199084
Tgo,02BV-G112,null,56.84,2.013,14.13,9.55,3.415,6.981,3.139,1.962,0.34,0.179,28.2,57.1,31.6,31.2,334.4,12.7,15.1,15.2,128.7,22.7,185.6,883.2,,12.5,10.3,55.2,340.3,4.7,,33.9,20,EvartsUnpubBridalVeil,WSU,whole rock,5/12/2006 4:08,45.593426,-122.191964
Tgo,02BV-G112-2,null,55.84,1.976,13.83,10.55,3.427,6.994,3.033,1.817,0.334,0.185,32.3,51.8,30.2,31.7,327.2,11.2,1.8,15.8,125.5,21,186.8,875.5,,12.3,9.4,50.8,328.8,5.1,1.7,46.2,-9,EvartsUnpubBridalVeil,WSU,whole rock,3/11/2008 15:11,45.593426,-122.191964
Tgsbm,02BV-G114,null,54.39,1.800,14.19,10.94,4.715,8.437,2.929,1.525,0.336,0.205,22.7,44.9,23.2,35.3,311.3,42.2,22.1,26.6,116.1,21,162.8,558.1,,10.9,6.1,35.3,313.1,3.2,,31.9,20,EvartsUnpubBridalVeil,WSU,whole rock,5/12/2006 5:12,45.623926,-122.137384
Tgww,02BV-G115A,null,54.35,2.031,13.58,12.44,3.749,7.518,3.016,1.627,0.319,0.209,25.7,44,24.1,35.3,368.2,11.8,13.6,10.2,127.2,22.8,174.1,587.2,,12.6,9.2,39.7,314.1,3.7,,35,20,EvartsFleck2017,WSU,whole rock,5/12/2006 6:16,45.632706,-122.111874
Tgo,02BV-G115B-2,null,55.75,1.827,13.8,10.88,3.509,7.096,3.096,1.758,0.305,0.186,35.4,62.7,32.3,31.7,304.7,6.5,0.2,12.1,121.7,19.1,184.4,717.4,,11.3,8.3,48.7,310.8,6.5,1.3,40.3,-9,EvartsFleck2017,WSU,whole rock,3/11/2008 16:16,45.632956,-122.110064
Tgo,02BV-G116B,null,55.75,1.946,13.74,11.17,3.499,7.042,3.147,1.846,0.332,0.187,27.9,55,26.6,30.9,327.1,15.7,16.1,14.8,124.7,21.2,179,696.8,,11.5,9.7,49.6,311.9,5.4,,32.5,20,EvartsFleck2017,WSU,whole rock,5/12/2006 8:25,45.632576,-122.106474
